学生番号,苗字,名前,パスワード,在籍ステータス
1,トム,クルーズ,wertyuio0,1
2,ブラッド,ピット,wertyuio1,1
3,レオナルド,ディカプリオ,wertyuio2,1
4,ジョニー,デップ,wertyuio3,1
5,キアヌ,リーブス,wertyuio4,1
6,ウィル,スミス,wertyuio5,1
7,ハリソン,フォード,wertyuio6,1
8,ロバート,ダウニーJr,wertyuio7,1
9,アンジェリーナ,ジョリー,wertyuio8,1
10,スカーレット,ヨハンソン,wertyuio9,1
11,エマ,ワトソン,wertyuio10,1
12,マシュー,マコノヒー,wertyuio11,1
13,アン,ハサウェイ,wertyuio12,1
14,ニコラス,ケイジ,wertyuio13,1
15,ナタリー,ポートマン,wertyuio14,1
16,クリス,ヘムズワース,wertyuio15,1
17,マーゴット,ロビー,wertyuio16,1
18,ドウェイン,ジョンソン,wertyuio17,1
19,メリル,ストリープ,wertyuio18,1
20,ベネディクト,カンバーバッチ,wertyuio19,1
